"Story","Title","Result","Date","Stability","Duration (s)"
"Fin ua check rates summary calc eur","Checking calculation of AVERAGE EUR-UAH rates based on bank's rates data","FAILURE","2016-02-29T16:12:59.790+02:00","0.0","25.68"
"Fin ua check rates summary calc usd","Checking calculation of AVERAGE USD-UAH rates based on bank's rates data","SUCCESS","2016-02-29T16:10:42.850+02:00","0.0","22.63"
"Fin ua check rates summary calc eur","Checking calculation of MAXIMUM EUR-UAH rates based on bank's rates data","FAILURE","2016-02-29T16:12:33.425+02:00","0.0","26.35"
"Fin ua check rates summary calc usd","Checking calculation of MAXIMUM USD-UAH rates based on bank's rates data","SUCCESS","2016-02-29T16:10:14.114+02:00","0.0","28.74"
"Fin ua check rates summary calc eur","Checking calculation of MINIMUM EUR-UAH rates based on bank's rates data","SUCCESS","2016-02-29T16:13:25.473+02:00","0.0","25.61"
"Fin ua check rates summary calc usd","Checking calculation of MINIMUM USD-UAH rates based on bank's rates data","SUCCESS","2016-02-29T16:11:05.484+02:00","0.0","25.36"
"Fin ua check rates summary calc eur","Checking calculation of OPTIMAL EUR-UAH rates based on bank's rates data","SUCCESS","2016-02-29T16:13:51.084+02:00","0.0","30.74"
"Fin ua check rates summary calc usd","Checking calculation of OPTIMAL USD-UAH rates based on bank's rates data","SUCCESS","2016-02-29T16:11:30.844+02:00","0.0","23.64"
"Fin ua check rates summary calc eur","Checking switching to EUR-UAH bank's rates data","SUCCESS","2016-02-29T16:12:08.315+02:00","0.0","25.11"
"Fin ua check rates summary calc usd","Checking switching to USD-UAH bank's rates data","SUCCESS","2016-02-29T16:09:48.453+02:00","0.0","25.62"
"Fin ua  currency exchange converter","Open Currency converter tab","FAILURE","2016-02-29T16:11:55.275+02:00","0.0","12.5"
